categoria,bloque,codigo,descripcion,precio,hay_stock,stock_texto,specs
windows,HP All in One,27-cx0044,"HP OmniStudio X (27-cx0044) 27"" QHD TOUCHSCREEN ALL IN ONE ECLIPSE GREY",USD 2.500,SI,STK,"Processor: 4.7 gigahertz Intel Core Ultra 7 Series 356H (16-core), Memory: 16GB DDR5 MT/s RAM, Storage: 1TB PCIe® NVMe™ M.2 SSD, Copilot+ PC Video Card: Intel Graphics, Display: 27"" QHD (2560 x 1440) Neo LED, Wi-Fi 7 (2x2) and Bluetooth 6.0 wireless card Windows 11 Home x64 bits, preinstalado. HP 1080p FHD IR camera with HDR auto switch and temporal noise reduction, HP 675C multi-device USB gray wireless keyboard and mouse combo"
windows,HP All in One,27-cy0077c,"HP OMNISTUDIO (27-cy0077c) Copilot+ PC 27"" FULL HD TOUCHSCREEN ALL IN ONE WHITE",USD 2.800,SI,STK,"Processor: Intel® Core™ Ultra 7 355 (up to 4.7 GHz with Intel® Turbo Boost Technology, 8 cores), Memory: 32GB DDR5-5600 MT/s RAM, Storage: 1TB PCIe® NVMe™ M.2 SSD, Video Card: Integrated Intel® Graphics, Display: 27"" FHD (1920 x 1080), touch, 75 Hz, WLED, IPS, anti-glare, Low Blue Light, 350 nits, Wi-Fi 7 (2x2) and Bluetooth® 6.0 wireless card, Realtek RTL8111HSH-CG GbE NIC, Rear: 2 USB 2.0 Type-A, 1 USB Type-A 10Gbps signaling rate, 2 USB Type-C® 20Gbps signaling rate, 1 HDMI 2.0b, 1 RJ-45, Headphone/MIC Combo Jack Windows 11 Home x64 bits, preinstalado. HP 1080p FHD IR camera with HDR auto switch and temporal noise reduction, Integrated dual array digital microphones"
windows,HP All in One,32-C1014,"HP OmniStudio X (32-C1014) B61VMAA#ABA 31,5"" 4K UHD ALL IN ONE METEOR SILVER",USD 2.900,NO,ING,"Processor: Intel® Core™ Ultra 7 Processor 258V, up to 4.8GHz, (8-core) /8-Thread, 12MB Intel Smart Cache, Memory: 32GB LPDDR5X 8533 megahertz RAM, Storage: 1TB PCIe Gen 4 SSD, Video Card: Intel® ARC Graphics, Display: 31.5"" 4K UHD (3840 x 2160) LED IPS Anti-glare, Ethernet Wi-Fi 7, Bluetooth Windows 11 Home x64 bits, preinstalado. 5 MP IR Camera with Temporal Noise Reduction, HP Meteor Silver Wireless Keyboard and Mouse Height Adjust Stand"
windows,LENOVO All in One,F0JD001VUS,"Lenovo IdeaCentre AIO 27"" (F0JD001VUS) 27"" FHD IPS LCD Touch-Screen All-In-One Luna Grey",USD 2.050,SI,STK,"Processor: 2 gigahertz AMD Ryzen AI 330 Series, 4-core (quad-core), Memory: 16GB DDR5-5600 MT/s RAM, Storage: 512GB PCIe® NVMe™ M.2 SSD, Video Card: AMD Radeon 820M, Display: 27"" Full HD (1920 x 1080) LCD IPS TouchScreen Wi-Fi, Bluetooth, High Definition (HD) Audio by HARMAN Windows 11 Home x64 bits, preinstalado. Front Facing Camera 5 Megapixels, Built-In Microphone Wireless Keyboard and Mouse,"
windows,LENOVO All in One,F0JH0004US,"Lenovo IdeaCentre AIO 27"" (F0JH0004US) 27"" 2K IPS LCD Touch-Screen All-In-One Luna Grey",USD 2.500,SI,STK,"Processor: 2.3 gigahertz Intel Core Ultra 7 Series 355 (8-core), Memory: 16GB LPDDR5X 7467 megahertz RAM, Storage: 1TB PCIe® NVMe™ M.2 SSD, Video Card: Intel Graphics, Display: 27"" QHD (2560 x 1440) LCD IPS TouchScreen Wi-Fi, Bluetooth, High Definition (HD) Audio by HARMAN Windows 11 Home x64 bits, preinstalado. Front Facing Camera 5 Megapixels, Built-In Microphone Wireless Keyboard and Mouse,"
windows,LENOVO All in One,F0HX000MUS,"Lenovo Yoga AIO 32ILL10 (F0HX000MUS) 31.5"" 4K UHD IPS ALL IN ONE STONE GRAY",USD 2.700,SI,STK,"Processor: Intel® Core™ Ultra 7 258V (LPE-cores up to 3.70 GHz P-cores up to 4.80 GHz / 32 GB MOP), Memory: 32GB LPDDR5X-8533MT/s RAM, Storage: 1TB SSD M.2 2280 PCIe Gen4 TLC, Display: 31.5"" UHD (3840 x 2160), IPS, Glare, Non-Touch, HDR 600, 97% DCI-P3, 495 nits, 60Hz, 3-side Borderless, Wi-Fi 7 2x2 BE 320MHz & Bluetooth® 5.4 Video Card: NVIDIA® GeForce RTX™ 4050 6GB GDDR6 Windows 11 PRO x64 bits, preinstalado. 5 MP IR Camera with Temporal Noise Reduction, HP Meteor Silver Wireless Keyboard and Mouse Height Adjust Stand"
windows,DELL Monitor,S2725QS,"DELL MONITOR Plus (S2725QS) 27"" 4K 3840 x 2160 120hz 16:9 Ash White",USD 890,NO,ING,
windows,DELL Monitor,S3225QS,"DELL MONITOR Plus (S3225QS) 32"" 4K 3840 x 2160 120hz 16:9 Ash White",USD 1.020,SI,STK,"4K monitor with up to 120Hz refresh rate and dual 5W speakers for elevated entertainment. 2 HDMI ports (HDCP 1.4 and 2.2) (Supports up to UHD 3840 x 2160, 120 Hz, FRL, HDR, VRR as per specified in HDMI 2.1) 1 DisplayPort 1.4 (HDCP 1.4 and 2.2) (Supports up to UHD 3840 x 2160, 120 Hz, HDR, VRR)"
ipad,"iPad Pro M5 11""",IPPM511256,256 GB,USD 1.250,SI,,
ipad,"iPad Pro M5 11""",IPPM511512,512 GB,USD 1.530,SI,,
ipad,"iPad Pro M5 11""",IPPM5111,1 TB,USD 1.940,SI,,
ipad,"iPad Pro M5 11""",IPPM511256L,256 GB - WiFi + Cell,USD 1.540,SI,,
ipad,"iPad Pro M5 11""",IPPM511512L,512 GB - WiFi + Cell,USD 1.750,SI,,
ipad,"iPad Pro M5 13""",IPPM513256,256 GB,USD 1.380,SI,,
ipad,"iPad Pro M5 13""",IPPM513512,512 GB,USD 1.690,SI,,
ipad,"iPad Pro M5 13""",IPPM5131,1 TB,USD 2.350,SI,,
ipad,"iPad Pro M5 13""",IPPM5132,2 TB,USD 2.680,SI,,
ipad,"iPad Pro M5 13""",IPPM513256L,256 GB - WiFi + Cell,USD 1.940,SI,,
ipad,"iPad Pro M5 13""",IPPM513512L,512 GB - WiFi + Cell,USD 2.200,SI,,
ipad,"iPad Air M4 11""",IAM411128,128 GB,USD 820,SI,,
ipad,"iPad Air M4 11""",IAM411256,256 GB,USD 970,SI,,
ipad,"iPad Air M4 13""",IAM413128,128 GB,USD 1.100,SI,,
ipad,"iPad Air M4 13""",IAM413256,256 GB,USD 1.240,SI,,
ipad,"iPad Air M4 13""",IAM413512,512 GB,USD 1.380,SI,,
ipad,"iPad 11th 11"" A16",IP11128,128 GB,USD 535,SI,,
ipad,"iPad 11th 11"" A16",IPA11256,256 GB,USD 670,SI,,
ipad,"iPad Mini 7 8.3""",IPM7128,128 GB,,NO,Sin stock,
ipad,"iPad Mini 7 8.3""",IPM7256,256 GB,USD 820,SI,,
ipad,"iPad Pro M4 11"" - USADO",IPM4U,128 GB- con KeyBoard,USD 800,SI,,
